url,label
https://www.google.com/,0
https://en.wikipedia.org/wiki/Phishing,0
https://www.paypal.com/signin,0
https://github.com/login,0
https://www.amazon.com/,0
https://www.dbs.com.sg/index/default.page,0
https://outlook.live.com/owa/,0
https://www.netflix.com/browse,0
https://www.apple.com/shop/buy-iphone,0
https://www.microsoft.com/en-us/microsoft-365,0
https://www.linkedin.com/feed/,0
https://www.facebook.com/login.php,0
https://www.instagram.com/accounts/login/,0
https://www.maybank2u.com.my/home/m2u/common/login.do,0
https://www.coinbase.com/dashboard,0
https://www.binance.com/en/my/dashboard,0
https://wise.com/gb/account,0
https://www.revolut.com/en-SG/,0
https://mail.google.com/mail/u/0/,0
https://stackoverflow.com/questions/ask,0
https://www.bankofamerica.com/online-banking/sign-in/,0
https://www.whatsapp.com/download,0
http://paypa1-secure-login.tk/verify,1
http://192.168.10.5/account/confirm,1
https://xn--paypl-4ve.com/login,1
http://secure-update-account.gq/win-prize,1
https://app1e-id-verify.click/unlock,1
http://bankofamerica.confirm-identity.top/,1
https://free-gift-claim.xyz/winner,1
http://good.com@evil-collector.cf/grab,1
http://203.0.113.42/paypal/secure/login,1
https://goog1e-account-recovery.ml/verify,1
http://netfl1x-billing-update.ga/account,1
https://amaz0n-prize-winner.club/claim,1
http://microsoft-support-alert.work/suspended,1
https://binance-bonus-claim.link/free,1
http://coinbase-wallet-verify.country/unlock,1
https://dbs-secure-login.rest/confirm,1
http://maybank-account-limited.kim/verify,1
https://faceb00k-security-check.cf/login,1
http://instagram-verify-account.gq/confirm,1
http://198.51.100.7/wallet/restore/seed,1
https://wha1sapp-gift-bonus.tk/winner,1
http://login.bank@phish-harvest.xyz/secure,1
